"year","statistical_region","waste_code","type_of_waste","total_waste_generated_stored","temporarily_stored_start_year","generated_in_the_year","temporarily_stored_end_year","waste_treated_by_original_generator","waste_transferred_for_treatment_in_RS","waste_sent_for_treatment_EU","waste_sent_for_treatment_outside_EU"
2023,"GORENJSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",795.973,0,795.973,0.58,0,795.393,0,0
2023,"GORENJSKA","15 01 01","Paper/Cardboard Packaging",4290.909,5.057,4285.852,3.457,0,4269.252,0,0
2023,"GORENJSKA","15 01 03","Wooden packaging",3148.265,8.62,3139.645,1.31,0,3146.955,0,0
2023,"GORENJSKA","17 02 01","Wood",54.586,0,54.586,0,0,54.586,0,0
2023,"GORENJSKA","19 12 01","Paper and Cardboard",145.736,0,145.736,0,0,145.736,0,0
2023,"GORENJSKA","20 01 38","Wood, not specified in 20 01 37",446.646,0,446.646,0,0,446.646,0,0
2023,"GORENJSKA","20 03 07","Bulky Waste",365.337,0,365.337,0,0,360.177,0,0
2023,"GORIŠKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",1408.33,0.2,1408.13,0.12,0,1283.29,124.92,0
2023,"GORIŠKA","15 01 01","Paper/Cardboard Packaging",5132.239,11.881,5120.358,13.77,0,5118.469,0,0
2023,"GORIŠKA","15 01 03","Wooden packaging",1449.785,14.52,1435.265,7.326,0,1442.459,0,0
2023,"GORIŠKA","17 02 01","Wood",34.27,0,34.27,0,0,34.27,0,0
2023,"GORIŠKA","19 12 01","Paper and Cardboard",2.58,0,2.58,0,0,2.58,0,0
2023,"GORIŠKA","20 01 38","Wood, not specified in 20 01 37",56.442,0.05,56.392,0.15,0,56.292,0,0
2023,"GORIŠKA","20 03 07","Bulky Waste",121.831,1.26,120.571,5.17,0,116.661,0,0
2023,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",3312.428,3.5,3308.928,3.5,0,3308.928,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper/Cardboard Packaging",4415.681,11.67,4404.011,14.985,0,4400.696,0,0
2023,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden packaging",2012.715,10.9,2001.815,25.93,0,1986.785,0,0
2023,"JUGOVZHODNA SLOVENIJA","17 02 01","Wood",286.111,0,286.111,0.3,0,285.811,0,0
2023,"JUGOVZHODNA SLOVENIJA","19 12 07","Wood, not specified in 19 12 06",1.56,0,1.56,0,0,1.56,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 01 38","Wood, not specified in 20 01 37",51.19,0,51.19,0,0,51.19,0,0
2023,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Waste",88.649,0,88.649,0,0,88.649,0,0
2023,"KOROŠKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",443.24,0,443.24,0,439,4.24,0,0
2023,"KOROŠKA","15 01 01","Paper/Cardboard Packaging",1673.792,6.63,1667.162,0.73,0,1673.062,0,0
2023,"KOROŠKA","15 01 03","Wooden packaging",754.056,1.01,753.046,0,0,754.056,0,0
2023,"KOROŠKA","17 02 01","Wood",46.41,31.61,14.8,0,0,46.41,0,0
2023,"KOROŠKA","19 12 01","Paper and Cardboard",13.412,0,13.412,0,0,13.412,0,0
2023,"KOROŠKA","19 12 07","Wood, not specified in 19 12 06",54.04,0,54.04,0,0,54.04,0,0
2023,"KOROŠKA","20 01 38","Wood, not specified in 20 01 37",273.98,0,273.98,0,0,273.98,0,0
2023,"KOROŠKA","20 03 07","Bulky Waste",452.502,1.8,450.702,0,0,452.502,0,0
2023,"OBALNO-KRAŠKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",63.58,0,63.58,0,0,63.58,0,0
2023,"OBALNO-KRAŠKA","15 01 01","Paper/Cardboard Packaging",2073.208,4.744,2068.464,5.178,0,2068.03,0,0
2023,"OBALNO-KRAŠKA","15 01 03","Wooden packaging",1928.21,0.82,1927.39,0.875,0,1927.335,0,0
2023,"OBALNO-KRAŠKA","17 02 01","Wood",78.5,0,78.5,0,0,78.5,0,0
2023,"OBALNO-KRAŠKA","19 12 07","Wood, not specified in 19 12 06",10.87,0,10.87,0,0,10.87,0,0
2023,"OBALNO-KRAŠKA","20 01 38","Wood, not specified in 20 01 37",103.91,1.1,102.81,2.99,0,100.92,0,0
2023,"OBALNO-KRAŠKA","20 03 07","Bulky Waste",209.454,0,209.454,0,0,209.454,0,0
2023,"OSREDNJESLOVENSKA","02 01 07",NA,16.02,0,16.02,0,0,16.02,0,0
2023,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",870.61,5,865.61,3,0,867.61,0,0
2023,"OSREDNJESLOVENSKA","03 03 01","Waste Bark and Wood",21.178,0,21.178,0,0,21.178,0,0
2023,"OSREDNJESLOVENSKA","03 03 07","Mechanically Separated Rejects from Waste Paper and Cardboard Pulping",7841.14,0,7841.14,0,0,6226.59,1614.55,0
2023,"OSREDNJESLOVENSKA","15 01 01","Paper/Cardboard Packaging",21053.375,16.094,21037.281,17.012,0,21036.363,0,0
2023,"OSREDNJESLOVENSKA","15 01 03","Wooden packaging",5265.924,21.138,5244.786,17.356,0,5248.568,0,0
2023,"OSREDNJESLOVENSKA","17 02 01","Wood",1711.19,0,1711.19,0.14,0,1711.05,0,0
2023,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard",191.859,0.02,191.839,0.035,0,191.824,0,0
2023,"OSREDNJESLOVENSKA","19 12 07","Wood, not specified in 19 12 06",5.32,0,5.32,0,0,5.32,0,0
2023,"OSREDNJESLOVENSKA","20 01 38","Wood, not specified in 20 01 37",816.722,0,816.722,0,0,816.722,0,0
2023,"OSREDNJESLOVENSKA","20 03 07","Bulky Waste",2424.284,0,2424.284,0,0,2424.284,0,0
2023,"PODRAVSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",485.06,0,485.06,0,0,485.06,0,0
2023,"PODRAVSKA","03 03 07","Mechanically Separated Rejects from Waste Paper and Cardboard Pulping",51.52,0,51.52,0,0,51.52,0,0
2023,"PODRAVSKA","15 01 01","Paper/Cardboard Packaging",8506.448,0.94,8505.508,0.89,0,8320.968,184.59,0
2023,"PODRAVSKA","15 01 03","Wooden packaging",4968.905,1.5,4967.405,4,0,4964.905,0,0
2023,"PODRAVSKA","17 02 01","Wood",189.53,0,189.53,0,0,189.53,0,0
2023,"PODRAVSKA","19 12 01","Paper and Cardboard",0.98,0,0.98,0,0,0.98,0,0
2023,"PODRAVSKA","20 01 38","Wood, not specified in 20 01 37",1471.683,0,1471.683,0,0,1471.683,0,0
2023,"PODRAVSKA","20 03 07","Bulky Waste",1412.163,2.85,1409.313,1.32,0,1410.843,0,0
2023,"POMURSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",1547.09,0,1547.09,0,0,1547.09,0,0
2023,"POMURSKA","15 01 01","Paper/Cardboard Packaging",2473.802,1.925,2471.877,0.806,0,2472.996,0,0
2023,"POMURSKA","15 01 03","Wooden packaging",708.215,1.21,707.005,0.7,0,707.515,0,0
2023,"POMURSKA","17 02 01","Wood",118.8,0,118.8,0,0,118.8,0,0
2023,"POMURSKA","19 12 01","Paper and Cardboard",1.121,0,1.121,0,1.121,0,0,0
2023,"POMURSKA","20 01 38","Wood, not specified in 20 01 37",37.08,0,37.08,0,0,37.08,0,0
2023,"POMURSKA","20 03 07","Bulky Waste",117.514,0,117.514,0,0.12,117.394,0,0
2023,"POSAVSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",72.135,0,72.135,0,0,72.135,0,0
2023,"POSAVSKA","03 03 01","Waste Bark and Wood",662.545,511.768,150.777,490,172.545,0,0,0
2023,"POSAVSKA","03 03 07","Mechanically Separated Rejects from Waste Paper and Cardboard Pulping",25.589,0,25.589,0,0,25.589,0,0
2023,"POSAVSKA","15 01 01","Paper/Cardboard Packaging",1138.056,1.146,1136.91,4.939,11.8,1121.317,0,0
2023,"POSAVSKA","15 01 03","Wooden packaging",396.721,4.681,392.04,27.86,45.681,323.18,0,0
2023,"POSAVSKA","17 02 01","Wood",1.78,0,1.78,0,0,1.78,0,0
2023,"POSAVSKA","20 01 38","Wood, not specified in 20 01 37",567.838,1.18,566.658,0.75,0,567.088,0,0
2023,"POSAVSKA","20 03 07","Bulky Waste",26.49,0,26.49,0,1.18,25.31,0,0
2023,"PRIMORSKO-NOTRANJSKA","03 03 01","Waste Bark and Wood",1.2,0,1.2,0,0,1.2,0,0
2023,"PRIMORSKO-NOTRANJSKA","15 01 01","Paper/Cardboard Packaging",1076.666,1.217,1075.449,3.216,0,1073.45,0,0
2023,"PRIMORSKO-NOTRANJSKA","15 01 03","Wooden packaging",351.194,0,351.194,2,0,349.194,0,0
2023,"PRIMORSKO-NOTRANJSKA","17 02 01","Wood",91.48,0,91.48,0,0,91.48,0,0
2023,"PRIMORSKO-NOTRANJSKA","20 01 38","Wood, not specified in 20 01 37",29.01,0,29.01,0,0,29.01,0,0
2023,"PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Waste",27.22,0,27.22,0,0,27.22,0,0
2023,"SAVINJSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",78.06,0,78.06,0,0,78.06,0,0
2023,"SAVINJSKA","03 01 99","Miscellaneous Waste",1180.78,0,1180.78,0,0,1180.78,0,0
2023,"SAVINJSKA","15 01 01","Paper/Cardboard Packaging",17639.978,5.833,17634.145,9.767,0,17630.211,0,0
2023,"SAVINJSKA","15 01 03","Wooden packaging",6530.112,3.895,6526.217,0.855,0,6529.257,0,0
2023,"SAVINJSKA","17 02 01","Wood",502.683,0.05,502.633,0.345,0,502.338,0,0
2023,"SAVINJSKA","19 12 07","Wood, not specified in 19 12 06",0.05,0,0.05,0,0,0.05,0,0
2023,"SAVINJSKA","20 01 38","Wood, not specified in 20 01 37",426.067,1.03,425.037,0.43,0,425.637,0,0
2023,"SAVINJSKA","20 03 07","Bulky Waste",1014.707,0,1014.707,0,0,1014.707,0,0
2023,"ZASAVSKA","15 01 01","Paper/Cardboard Packaging",839.303,0.83,838.473,0.143,0,839.16,0,0
2023,"ZASAVSKA","15 01 03","Wooden packaging",381.147,0.35,380.797,0,0,381.147,0,0
2023,"ZASAVSKA","17 02 01","Wood",88.06,0,88.06,0,0,88.06,0,0
2023,"ZASAVSKA","20 01 38","Wood, not specified in 20 01 37",23.72,0.5,23.22,0.62,0,23.1,0,0
2023,"ZASAVSKA","20 03 07","Bulky Waste",27.58,0,27.58,0,0,27.58,0,0
